ID Loja,Valor Final
Shopping SP Market,12545
Shopping Midway Mall,10673
Iguatemi Campinas,10513
Shopping Eldorado,8507
Center Shopping Uberlândia,8228
Rio Mar Shopping Fortaleza,7684
Rio Mar Recife,7173
Shopping Ibirapuera,6842
Shopping Barra,6370
Shopping Recife,5666
Iguatemi Esplanada,4790
Shopping Iguatemi Fortaleza,4513
Salvador Shopping,4161
Novo Shopping Ribeirão Preto,4058
Palladium Shopping Curitiba,3129
Ribeirão Shopping,3128
Bourbon Shopping SP,2858
Shopping Vila Velha,2539
Shopping Center Interlagos,2317
Norte Shopping,2118
Passei das Águas Shopping,1914
Shopping União de Osasco,1478
Parque Dom Pedro Shopping,1124
Shopping Center Leste Aricanduva,860
Shopping Morumbi,250
