ID Loja,Valor Final
Palladium Shopping Curitiba,10196
Shopping Midway Mall,8851
Iguatemi Esplanada,8656
Shopping Barra,8543
Shopping União de Osasco,8388
Shopping Iguatemi Fortaleza,8291
Shopping Vila Velha,6535
Rio Mar Shopping Fortaleza,6170
Rio Mar Recife,5530
Shopping SP Market,5508
Ribeirão Shopping,5503
Shopping Center Interlagos,5081
Shopping Ibirapuera,4981
Salvador Shopping,4740
Norte Shopping,4503
Shopping Recife,4342
Novo Shopping Ribeirão Preto,3921
Passei das Águas Shopping,3582
Shopping Eldorado,2948
Shopping Morumbi,2160
Center Shopping Uberlândia,2106
Parque Dom Pedro Shopping,2004
Bourbon Shopping SP,1773
Iguatemi Campinas,856
Shopping Center Leste Aricanduva,820
