ID Loja,Valor Final
Shopping Eldorado,8468
Shopping Center Interlagos,8446
Palladium Shopping Curitiba,6989
Shopping Ibirapuera,6819
Shopping Barra,6035
Iguatemi Campinas,5916
Ribeirão Shopping,5795
Shopping Recife,5168
Rio Mar Recife,4995
Shopping SP Market,4817
Shopping União de Osasco,4381
Salvador Shopping,4361
Parque Dom Pedro Shopping,4162
Norte Shopping,4102
Shopping Midway Mall,3843
Iguatemi Esplanada,3792
Novo Shopping Ribeirão Preto,3775
Shopping Vila Velha,3527
Shopping Morumbi,2584
Passei das Águas Shopping,2029
Bourbon Shopping SP,1842
Rio Mar Shopping Fortaleza,1697
Center Shopping Uberlândia,1630
Shopping Iguatemi Fortaleza,1010
