ID Loja,Valor Final
Passei das Águas Shopping,11776
Iguatemi Esplanada,9275
Ribeirão Shopping,8342
Rio Mar Shopping Fortaleza,7446
Shopping União de Osasco,6505
Shopping Iguatemi Fortaleza,6223
Shopping Vila Velha,5890
Novo Shopping Ribeirão Preto,5568
Center Shopping Uberlândia,5533
Palladium Shopping Curitiba,5322
Shopping Barra,5320
Salvador Shopping,4862
Shopping Eldorado,4366
Parque Dom Pedro Shopping,4331
Shopping Ibirapuera,4105
Shopping Center Leste Aricanduva,3921
Norte Shopping,3768
Shopping Morumbi,3659
Shopping Center Interlagos,3136
Bourbon Shopping SP,2950
Iguatemi Campinas,2581
Shopping SP Market,2573
Shopping Recife,2071
Shopping Midway Mall,1941
Rio Mar Recife,1764
