ID Loja,Valor Final
Iguatemi Campinas,14407
Shopping Center Leste Aricanduva,11566
Salvador Shopping,10392
Shopping União de Osasco,9149
Shopping Vila Velha,7462
Palladium Shopping Curitiba,7437
Shopping Midway Mall,7420
Novo Shopping Ribeirão Preto,6591
Shopping Recife,6071
Shopping Iguatemi Fortaleza,5758
Norte Shopping,5605
Shopping SP Market,5201
Rio Mar Recife,4780
Iguatemi Esplanada,4337
Center Shopping Uberlândia,4212
Bourbon Shopping SP,3634
Passei das Águas Shopping,3266
Rio Mar Shopping Fortaleza,2979
Ribeirão Shopping,2655
Shopping Barra,2420
Shopping Morumbi,1659
Shopping Ibirapuera,1526
Parque Dom Pedro Shopping,1486
Shopping Center Interlagos,1460
Shopping Eldorado,924
