ID Loja,Valor Final
Shopping Recife,14252
Novo Shopping Ribeirão Preto,14155
Shopping União de Osasco,9630
Shopping Vila Velha,8706
Salvador Shopping,8696
Bourbon Shopping SP,6552
Ribeirão Shopping,5900
Shopping Center Interlagos,5601
Shopping Center Leste Aricanduva,5455
Shopping Ibirapuera,4260
Shopping Iguatemi Fortaleza,3955
Shopping Eldorado,3769
Rio Mar Recife,3526
Palladium Shopping Curitiba,3431
Norte Shopping,3375
Iguatemi Esplanada,3334
Passei das Águas Shopping,2948
Rio Mar Shopping Fortaleza,2576
Center Shopping Uberlândia,2527
Parque Dom Pedro Shopping,2086
Shopping Morumbi,2057
Shopping Midway Mall,1826
Shopping Barra,1741
Shopping SP Market,980
Iguatemi Campinas,810
