ID Loja,Valor Final
Shopping Morumbi,12298
Palladium Shopping Curitiba,10519
Shopping Ibirapuera,8774
Shopping Barra,7578
Iguatemi Esplanada,7269
Iguatemi Campinas,6943
Shopping Eldorado,6139
Shopping Center Leste Aricanduva,5937
Shopping União de Osasco,5610
Shopping Vila Velha,5149
Novo Shopping Ribeirão Preto,5010
Parque Dom Pedro Shopping,4898
Center Shopping Uberlândia,4466
Shopping Center Interlagos,4195
Salvador Shopping,4025
Passei das Águas Shopping,3935
Shopping Iguatemi Fortaleza,3686
Shopping Midway Mall,3613
Rio Mar Recife,3373
Bourbon Shopping SP,3300
Norte Shopping,2587
Shopping Recife,2321
Ribeirão Shopping,2303
Shopping SP Market,1671
