,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
60073,41513,2019-08-03,10,Mochila,5,270,1350
60074,41513,2019-08-03,10,Bermuda Listrado,1,163,163
60077,41516,2019-08-03,10,Casaco Estampa,1,256,256
60078,41516,2019-08-03,10,Calça Liso,1,190,190
60079,41516,2019-08-03,10,Cinto,2,200,400
60096,41531,2019-08-03,10,Terno Xadrez,2,709,1418
60146,41564,2019-08-03,10,Relógio Listrado,3,218,654
60147,41564,2019-08-03,10,Camiseta Linho,1,223,223
60152,41569,2019-08-03,10,Casaco Listrado,2,269,538
60168,41578,2019-08-03,10,Calça Estampa,1,177,177
60169,41578,2019-08-03,10,Relógio Liso,3,216,648
60170,41578,2019-08-03,10,Camisa Linho,1,141,141
60203,41601,2019-08-03,10,Sunga Estampa,2,120,240
60219,41611,2019-08-03,10,Cueca Xadrez,1,60,60
60220,41611,2019-08-03,10,Chinelo Liso,2,71,142
60224,41615,2019-08-03,10,Sunga,5,100,500
60289,41654,2019-08-03,10,Short Xadrez,2,100,200
60290,41654,2019-08-03,10,Polo Linho,2,176,352
