,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
37244,25722,2019-05-14,5,Short Liso,1,108,108
37245,25722,2019-05-14,5,Sapato Linho,1,391,391
37276,25740,2019-05-14,5,Cueca Linho,4,93,372
37277,25740,2019-05-14,5,Relógio Xadrez,1,214,214
37278,25740,2019-05-14,5,Calça Linho,1,211,211
37286,25746,2019-05-14,5,Polo Estampa,2,138,276
37287,25746,2019-05-14,5,Calça Listrado,1,181,181
37288,25746,2019-05-14,5,Camisa Listrado,3,108,324
37289,25746,2019-05-14,5,Sunga Liso,5,114,570
37290,25746,2019-05-14,5,Sapato Liso,5,368,1840
37297,25753,2019-05-14,5,Polo Estampa,1,138,138
37298,25753,2019-05-14,5,Pulseira Listrado,2,79,158
37299,25753,2019-05-14,5,Terno Liso,2,720,1440
37309,25758,2019-05-14,5,Tênis Xadrez,2,259,518
37325,25773,2019-05-14,5,Short Xadrez,1,100,100
37326,25773,2019-05-14,5,Camisa Gola V Xadrez,3,107,321
37327,25774,2019-05-14,5,Cinto Estampa,5,209,1045
37328,25774,2019-05-14,5,Polo Estampa,2,138,276
37349,25785,2019-05-14,5,Relógio Xadrez,5,214,1070
37350,25785,2019-05-14,5,Polo Liso,5,137,685
37369,25799,2019-05-14,5,Short Estampa,1,96,96
37377,25805,2019-05-14,5,Gorro Xadrez,5,85,425
37378,25805,2019-05-14,5,Polo Liso,1,137,137
37379,25805,2019-05-14,5,Short Listrado,1,102,102
37411,25822,2019-05-14,5,Calça Linho,1,211,211
37418,25825,2019-05-14,5,Cueca Estampa,1,66,66
37427,25833,2019-05-14,5,Camisa Gola V Linho,5,145,725
37428,25833,2019-05-14,5,Pulseira Estampa,5,87,435
37429,25833,2019-05-14,5,Relógio Estampa,2,219,438
37470,25857,2019-05-14,5,Polo Listrado,4,149,596
37492,25872,2019-05-14,5,Tênis Estampa,5,256,1280
