,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
59536,41154,2019-08-01,7,Camisa Gola V Xadrez,3,107,321
59537,41154,2019-08-01,7,Bermuda,2,150,300
59538,41154,2019-08-01,7,Relógio Linho,1,240,240
59545,41161,2019-08-01,7,Gorro Listrado,1,97,97
59546,41161,2019-08-01,7,Short,1,90,90
59559,41169,2019-08-01,7,Pulseira Xadrez,5,87,435
59560,41170,2019-08-01,7,Cueca,1,50,50
59581,41182,2019-08-01,7,Cueca Liso,4,69,276
59582,41182,2019-08-01,7,Cueca Liso,2,69,138
59617,41212,2019-08-01,7,Mochila Estampa,5,277,1385
59618,41212,2019-08-01,7,Polo Linho,2,176,352
59665,41241,2019-08-01,7,Mochila,1,270,270
59666,41241,2019-08-01,7,Calça Xadrez,2,185,370
59778,41312,2019-08-01,7,Tênis,5,250,1250
