,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
18342,12637,2019-03-08,3,Sunga Liso,1,114,114
18343,12637,2019-03-08,3,Calça Estampa,1,177,177
18468,12709,2019-03-08,3,Sunga Estampa,1,120,120
18480,12720,2019-03-08,3,Calça Estampa,5,177,885
18481,12720,2019-03-08,3,Terno Linho,1,750,750
18482,12720,2019-03-08,3,Sunga Estampa,1,120,120
18487,12724,2019-03-08,3,Pulseira Liso,4,87,348
18488,12724,2019-03-08,3,Bermuda Xadrez,5,155,775
18489,12724,2019-03-08,3,Tênis Listrado,2,262,524
18565,12784,2019-03-08,3,Gorro Estampa,2,93,186
18566,12784,2019-03-08,3,Cinto Linho,1,248,248
18567,12784,2019-03-08,3,Bermuda,2,150,300
18569,12786,2019-03-08,3,Camiseta Liso,1,187,187
18570,12786,2019-03-08,3,Gorro Estampa,3,93,279
18571,12786,2019-03-08,3,Sunga Xadrez,1,116,116
18572,12786,2019-03-08,3,Relógio Liso,2,216,432
